name,wgt_avg,overall_score,style_score,abv,est_cal,beer_desc,ibu,mean
Terrapin French Toasted W-n-B Coffee Oatmeal Imperial Stout,3.81,98,82,9.4%,282,"
        Reserve Series 2014. Breakfast in a bottle returns this year with one of our favorite morning time treats. French toasted W-n-B combines big maple syrup notes, fresh coffee, and hints of vanilla and cinnamon to stand out among the ordinary Imperial Stout. With this much decadence packed into one bottle, this beer will get you back to the table for another round.
      ",DNE,DNE
Burnt Hickory Charred Walls of the Damned,3.81,98,95,14%,420,"
        Charred Walls of the Damned is half aged in a Finger Lakes Brandy Barrel, and half is aged in a whiskey barrel. It’s a Barrel Blend Belgian Barleywine/Quad. Dark Fruit from the brandy barrel and Candi Syrup, and smooth whiskey notes to round it out. Named for Richard Christy of the Howard Stern show’s band.
      ",DNE,4/5.0
Sweetwater Dank Tank Some Strange,3.8,98,98,10%,300,"
        Living large with his 7 year squeeze, Capt. Danky was suddenly blindsided as he discovered General Betrayus under the sheets with his ho. Unstable, delirious, and in desperate need of relief, he headed to the Cheetah to drown his sorrows with a few motorboats. After his wallet was drained by a lonely dental hygienist student, she whispered in his ear the 411 on a swinging late night dance club called Johnny’s Hideaway where he might get lucky. Wearing his big boy pants, he jumped in the first cab and beelined it to the hopeful honey hole. A stupefied Capt. Danky slipped in and was immediately pounced on by the house mama who set her meat hooks into him to do a little dirty dancing. Capt Danky was swept off his feet by this big ol’ beauty and lured back to her cougar den for some Danky Spanky. Capt Danky awoke with an ear to ear hicky and massive claw marks on his chest, back, and sack-a-jo-wia. He slowly rolled over and uncrusted his eyes, hoping to figure out what was saddled up next to him under the leopard skin sheets. As his vision cleared, he gagged, learning he had ‘seasoned” a big fat black double IPA. Horrified, he grabbed his ring off the nightstand and jumped out the window before it was awake and ready for roust two. Here’s to hoping his buddies never discover his bag-age. Get Some Strange!
      ",DNE,DNE
Terrapin Big Hoppy Monster,3.8,98,95,8.3%,249,"
        This mammoth imperial red ale leads with a tantalizing hop aroma that is quickly complemented by an enormous malt backbone. Finishing with a multitude of hoppy goodness, this “Monster Beer” is truly not for the faint at heart.
      ",DNE,DNE
Wrecking Bar Siberius Maximus Russian Imperial Stout,3.78,98,79,10.7%,321,"
        A thick, rich stout perfect for cold nights or with dessert!
10.7% ABV 74 IBU
      ",74,4.05/5.0
5 Seasons North Plan B IPA,3.77,98,99,7.3%,219,"
        Warning: This beer is hoppy!",DNE,3.86/5.0
Wrecking Bar Jemmy Dean Breakfast Stout,3.78,98,99,5.8%,174,"
        The stout style lends itself well to pairing with coffee.  Our Jemmy stout uses 11 different malts and has a complexity that is complemented by our special cold-pressed Aurora Guatemala Antigua coffee added into the serving tank – yielding our “Jemmy Dean” breakfast stout.
      ",42,3.87/5.0
Terrapin Tiramisu-Hoo,3.79,98,79,8.5%,255,"
        Soak up all the flavor in our newest reserve series beer, “Tiramisu-Hoo” Imperial Milk Stout. With all the attributes of a finely executed dessert, we have managed to create a beer  that is layered with all the goodness you would expect from a succulent slice of Italian history.
      ",DNE,DNE
Wrecking Bar Choco Mountain Imperial Breakfast Stout,3.78,,,9%,270,"
        Our 300th batch here at the pub since opening our doors on Father’s Day 2011! This beer was brewed to be a celebration of all the big flavors we enjoy in a breakfast stout. Flavors of bittersweet dark chocolate, mocha, dark fruits, and smoothness from oats all come to play in this decadent strong ale. Sumatran coffee beans and dark Mexican chocolate were used in our hopback to take this beer to the next level. As if that weren’t enough, we finished this unique brew with our signature Guatemalan Antigua cold-press coffee recipe, generally reserved for the Jemmy Dean, and infused the beer with a half-gallon per barrel. Just wait ‘til we empty the whisky barrel housing this beer in our cellar…
      ",70,4.13/5.0
Terrapin Side Project Hopzilla Double IPA,3.75,98,92,10.8%,324,"
        Terrapin Side Project 12 is none other than the fearless Hopzilla Double IPA. This hoptastic creature clocks in at 110 IBUs and has all the hop explosions of a B-rate monster movie.
",110,DNE
Wrecking Bar Jemmy American Stout,3.77,98,99,6.4%,192,"
        With 11 different grains used in the brewing process, this is one of the more complex stouts out there.  Several different roasted barleys, wheats, oats, and caramelized grains yield hints of bread, toffee, dark fruits, chocolate and coffee.  Just enough hops for balance, and a traditional English yeast for true stout character.
      ",42,DNE
Red Brick 20th Anniversary ,3.77,98,75,10%,300,"
        20th Anniversary, Brick Mason Series #7, is an Imperial Stout aged in bourbon barrels. We are celebrating our milestone anniversary with a milestone beer that will be the strongest beer in brewery’s history. Rich chocolate and roasted flavors are balanced by sweet caramel malts. Bourbon barrels provide big bourbon notes supported by flavors of oak and vanilla. This beer commemorates Red Brick Brewing Company’s 20 year brewing tradition. And while we’re focused on the future, we’ll never forget our humble beginnings. 
      ",DNE,DNE
Terrapin Rye Squared,3.75,98,92,8.5%,255,"
        Double the malt, double the hops, and double the flavor of the original Rye Pale Ale recipe.  (Hence the name Rye Squared.)  With its mammoth hop aroma, bitterness and flavor, this beer is not for the faint at heart. The Rye Squared clocks in at a hefty 8.5% ABV so double your pleasure and double your fun because Terrapin went a little crazy with this one!
The first keg of Rye Squared went on tap at Tasty World in Athens on Monday April 25th 2005. A special thank you goes out to the newly formed Terrapin Keg Killers. We were told that Tasty World would put the Rye Squared on as soon as they finished off a keg of a ""Select"" beer they had on tap. When the Terrapin Keg Killers heard about this they went to Tasty world and finished off that other keg in record time. By 10pm on Monday they were enjoying the fruits of their labor when the first ever Rye Squared keg went online.

Malt: 2-row pale, Munich, Malted Rye, Bisuit Malt, Honey Malt.

Hops: Amarillo, Cascade, East Kent Goldings, Fuggle, Magnum

      ",DNE,DNE
5 Seasons Hopgasm,3.75,98,98,7%,210,"
        HopGasm is Brewmaster Kevin McNerney’s innaugural release at 5 Seasons. HopGasm is a west coast India Pale Ale, bold in every sense. It invites you with a nose far more intruiging than most IPAs. We use 5 different hops, including Simcoe and Amarillo, which gives an incredibly rich bouquet and a pleasurable mouthfeel. It’s a bit over 7% ABV, but a solid malt backbone and a sumptuous aftertaste will make you want multiple HopGasms.
      ",DNE,DNE
Kona Da Grind Buzz Kona Coffee Imperial Stout,3.78,98,77,8.3%,249,"
        Da Grind Buzz Kona Coffee Imperial Stout is an assertive, rich and hearty dark stout complemented by freshly roasted
100 percent Kona coffee. The stout style is a Russian Imperial stout, historically brewed strong to survive its long
voyage from London to the Baltic region. Course ground dark roast 100 percent pure Kona coffee beans were added
to the brew during the aging process. The beans were grown and harvested by Cornwell Estate in Holualoa. The
brewers were able to watch freshly harvested beans being roasted before transporting them to the brewhouse and
adding them to the batch. The beer will be served on nitrogen, giving a smooth, creamy mouth-feel that complements
the roasted coffee flavor.
      ",DNE,DNE
Maui Brewing Imperial CoCoNut PorTeR,3.76,98,85,9.4%,282,"
        Our Imperial Coconut Porter is a stronger version of robust porter spiced with all natural toasted coconut. It is black in color and crowned with a creamy, dark tan head. It begins with a malty-toasted-coconut aroma followed by a rich, silky mouthfeel with tastes of dark malt, chocolate, and hints of coffee. TCHO cocoa nibs were blended with the toasted coconut during the maturation process to intensify the aroma of coconut and dark chocolate. 
      ",30,DNE
Kona Old Blowhole Barley Wine,3.69,97,89,12.5%,375,"
        Tawny brown in color with an intense, rich, hearty malt flavor and warming characteristics. The bold maltiness is balanced by liberal                amounts of hops. Aged for a minimum of seven months before being tapped each year.             
      ",DNE,DNE
Maui Brewing Coconut Hiwa Porter,3.69,96,98,6%,180,"
        Our Coconut Porter is a classic robust porter spiced with all natural toasted coconut.  It is black in color and crowned with a creamy, dark tan head.   It begins with a malty-toasted-coconut aroma followed by a rich, silky mouthfeel with tastes of dark malt, chocolate, and hints of coffee.  It then finishes with flavors of  toasted coconut and hoppy spice to balance the finish.
      ",30,DNE
Maui Brewing Double Overhead IPA,3.67,96,83,9%,270,"
        Double Overhead IPA is a fresh handcrafted double IPA featuring copious amounts of hops. Laden with hops from begining to end and not overly bitter, it’s hop aromas and flavours give hints of Guava, Passion Fruit, and orange spice which blend well with the silky malt flavours. ""Big braddah to the Big Swell IPA""
      ",100,DNE
Big Island Overboard IPA,3.67,96,95,6.9%,207,"
        (I.P.A). was developed in England around 1800; the extra strength in alcohol and hops helped preserve the beer on its long export journeys to India and beyond.  The style has developed a following worldwide. Ours begins with smooth, malty creaminess and a big burst of dry-hop flavor and aroma from a variety of American hops. It finishes with a lingering yet pleasant bitterness.  Is it Overboard? You decide.    
      ",45,DNE
Maui Brewing Big Swell IPA,3.63,95,93,6.2%,186,"
        India Pale Ale was developed in Burton, England, as a ""Super-Premium"" 
hoppy pale ale around 1800. The extra strength in alcohol and hops helped preserve the beer on its 
long export journeys to India and beyond. The style developed a following worldwide. Its flavor begins 
with a smooth, malty creaminess followed with a big burst of dry-hop flavor from English Kent Golding 
Hops. It then finishes with a lingering yet pleasant bitterness. 
",82,DNE
Big Island / Caldera Red Sea Imperial Red Gose,3.55,92,72,8.8%,264,"
        Imperial red ale made with Himalayan pink salt, pink peppercorns, molasses, and natural chocolate. 
      ",DNE,3.78/5.0
Maui Brewing Shipwreck Stout,3.44,90,87,DNE,DNE,DNE,DNE,3.67/5.0
Big Island Holy Humulus ,3.51,89,81,6.9%,207,DNE,DNE,3.62/5.0
Maui Brewing Freight Trains IPA,3.43,89,76,7.5%,225,DNE,60,3.68/5.0
Kona Pipeline Porter,3.51,88,88,5.3%,159,"
        Pipeline Porter is smooth and dark with a distinctive roasty aroma and earthy complexity from its diverse blends of premium malted barley. This celebration of malt unites with freshly roasted 100% Kona coffee grown at Cornwell Estate on Hawaii’s Big Island, lending a unique roasted aroma and flavor. A delicate blend of hops rounds out this palate-pleasing brew.
      ",23,DNE
Maui Brewing Lorenzini Double IPA (6th Sense),3.5,89,48,7.6%,228,"
        Originally a collaboration with Pizza Port Ocean Beach.",75,DNE
Kauai Island Captain Cook’s IPA,3.46,,,5.8%,174,"
        Created after the hoppy ales brewed in the 1700’s for the long journey from England to Hawaii, this Ale is one of our hoppiest beers ever using 15 pounds of hops for 155 gallons of beer.
      ",67,3.68/5.0
Maui Brewing KGB Woody,3.38,88,26,9.8%,294,"
        Bourbon Barrel Aged KGB
      ",DNE,3.77/5.0
Big Island White Mountain Porter,3.48,87,86,5.8%,174,"
        A classic robust porter spiced with all-natural toasted coconut and award winning locally-grown and roasted Hamakua Coast White Mountain Coffee.  Black in color and crowned with a creamy, dark tan head, toasted coconut and roasted coffee aromas are followed by hints of rich, silky dark malt and chocolate; balanced with hoppy spice finish.
      ",35,DNE
Kona Bourbon Barrel Aged Black Sand Porter,3.4,,,6.5%,195,"
        Robust porter aged 6 months on a Makers Mark bourbon barrel. 40 IBUs, 6.5% ABV
      ",40,3.84/5.0
Maui Brewing Heaven & Hell Barleywine,3.39,86,45,11%,330,"
        Barleywine aged in Heaven Hill Whiskey barrels.
      ",DNE,3.69/5.0
Big Island Golden Sabbath,3.47,86,79,8.5%,255,"
        A Belgian-style strong golden ale with a wondrous range of fruit flavors like plum, apricot, and cherry imparted by special Belgian yeast. Traditionally served in special goblets this style of beer can turn an ordinary lunch into an extraordinary event and a slow Sunday afternoon into a special Golden Sabbath.    
      ",30,DNE
Honolulu Beerworks South Shore Stout ,3.43,83,78,7.2%,216,DNE,60,3.62/5.0
Kona Black Sand Porter,3.47,86,83,6.5%,195,"
        Black Sand Porter is a robust, full bodied porter with pronounced bittersweet chocolate flavor and aroma from the diverse variety of malt used to brew this beer. The hops balance the the maltiness of this robust and roasty ale.
      ",40,DNE
Maui Brewing Hop Kine,3.47,86,98,5.7%,171,"
        IPL? Yes an ""India Pale Lager"". a hybrid style bring clear lager characteristics to pair with the hop character typical of an IPA.",57,DNE
Maui Brewing Cascadian Dark Belgian Rye IPA,3.35,86,39,7.8%,234,DNE,75,3.69/5.0
Maui Brewing Aloha B’ak’tun,3.45,85,82,7%,210,"
        Sure.. the scientists have published essays, the philosophers poems, the naysayers flyers.. but here at the center of the Maui Brewing micro-verse, we are publishing the ultimate in doomsday aloha – this year’s last canned seasonal, Aloha B’ak’tun! The word aloha conveys both greeting and goodbye in the Hawaiian language and B’ak’tun refers to the 3000+year cycle of the Mayan Calendar which is ending. This apocalyptic Belgian-style stout is brewed with Hawaiian chocolate, locally-grown chipotle chilies and cinnamon spice.
      ",DNE,DNE
Big Island Red Giant Ale,3.45,85,49,6.5%,195,"
        Our sun will be a Red Giant in 5 billion years, this beer is a Red Giant now.  Brewed with rich, light and dark caramel malts and a full dose of American hops, it finishes with dry hop and toffee flavors.
      ",45,3.61/5.0
Sockeye Barrel Aged Seven Devils Imperial Stout,3.81,98,82,10.5%,315,DNE,DNE,3.97/5.0
Grand Teton Double Vision Doppelbock,3.77,98,99,8%,240,"
        Double Vision Doppelbock was first brewed in 2009 to highlight our brewery’s wonderful water.  
Like all the great traditional brewing towns, our home, Victor, Idaho, is in or near some of the 
world’s best barley- and hop-growing regions, and is distinguished by an ample supply of top-
quality water.

Our Double Vision Doppelbock is brewed with Idaho 2-Row Pale and German Munich, Cara-
Aroma, CaraMunich and de-husked Carafa malts to an original gravity of 22˚ Plato.  The malts 
provide a dark leather color with ruby notes, a luxurious tan head, and a bready aroma with 
a hint of smoke.  It is lightly spiced with German Hallertau Tradition hops and fermented with 
lager yeast from a monastery brewery near Munich.  In the traditional manner, Double Vision 
is fermented cold (48˚F) and lagered a full 12 weeks for smoothness.  At 8.0% alcohol by 
volume, it is a deceptively drinkable springtime warmer.

The 17th century Paulist monks of Munich were allowed no solid food during their twice-yearly 
fasts.  They brewed an especially nourishing strong dark lager they called “liquid bread” and 
named “Holy Father” to help them through the Lenten and Advent fasts.  The beer was known 
as a doppelbock, which signifies a strong lager.  Since “bock” also means “billy goat” in German, 
these beers are often decorated with images of gallivanting goats.  

Double Vision’s slightly burnt caramel flavor and malt sweetness make it an incredible match 
for game—venison, moose, duck, goose, and wild boar—especially when prepared with fruity 
sauces or reductions.  Try it with pork and sautéed apples, roasted root vegetables, sweet 
sausages, ham or prosciutto.  It’s wonderful with cheese and dessert, too.  Pair it with an aged 
gruyère, a caramel flan, or a crème brûlée.

      ",40,DNE
Grand Teton Black Cauldron Imperial Stout,3.75,98,72,8%,240,"
        This thick, rich ale was brewed with plenty of caramel and roasted malts, and subtly spiced with American Chinook and Willamette hops. It boasts flavors of chocolate and coffee, along with raisins and dried fruit soaked in sherry. We’ve accentuated the natural smokiness of the brew by adding a small amount of beechwood-smoked malt and aging the brew in an oak whiskey barrel, which also adds notes of oak and vanilla.
      ",43,DNE
Big Horn Tres Amigos Tequila Aged Imperial IPA,3.71,97,89,12%,360,"
        Its finally been done! Tom Charters, in collaboration with the ""Two Jakes"", Jake Schisel and Jake Talbot of The Ram, has finally brewed up a huge batch of this extremely popular beer. And it will be headed to GABF this year in the Pro-Am competition! An insane amount of hops (100+IBU’S) go into balancing out this 12% Imperial IPA. along with some aging time resting on Casa Noble Reposado Tequila soaked oak chips. This is your opportunity to come out and enjoy one of the most unique and flavorful beers you can get your hands on.
      ",DNE,3.91/5.0
Payette 12 Gauge Imperial Stout - Barrel Aged,3.71,97,64,10%,300,DNE,DNE,3.84/5.0
Laughing Dog The Dogfather Imperial Stout - Bourbon Barrel,3.71,97,63,10.85%,326,"
        This year’s Dogfather Imperial Stout will all be aged in charred bourbon barrels. Seven malt varieties and subtle hop additions give it a complex flavor profile.
      ",DNE,DNE
Grand Teton Brewers Series No. 2 - Brett Saison,3.69,96,95,6.2%,186,"
        Grand Teton Brewing’s second release in their Brewers’ Series in bottles is a Dry Hopped Brett Saison aged in wine barrels. Starting with a Saison using traditional malts and hops, the brewers then pitched a simple yet complex strain of yeast: Brettanomyces Drei (Brett).

After the beer fermented to a low gravity resulting in a crisp, clean and dry beer, Grand Teton brewers transferred it to wine barrels where it aged for nine months. A few weeks before packaging, a blend of hops at a rate of 5 pounds per wooden barrel was added. The live Brett in this beer, as well as the generous amounts of unique and flavorful hops, makes this a great beer to drink fresh. It may also be cellared to further develop for years to come.
      ",DNE,3.93/5.0
Payette 12 Gauge Imperial Stout,3.69,96,58,10%,300,DNE,DNE,3.91/5.0
Grand Teton Sheep Eater Scotch Ale,3.68,96,97,7.5%,225,"
        Sheep Eater Scotch Ale was brewed to showcase the role of malt in the flavor of beer and brewed in strict adherence to the Reinheitsgebot, or German Beer Purity Law.
",DNE,DNE
Sockeye Hopnoxious Imperial IPA,3.65,96,81,9%,270,"
        A double IPA with intense hop aroma and flavor and an equally commanding bitterness. We use six different varieties of hops including Chinook, Warrior, Zeus, Magnum, Apollo, and Bravo. Its meant to be consumed at its freshest state.
      ",170,3.78/5.0
Laughing Dog Devil Dog Imperial IPA,3.67,96,84,10%,300,"
         The Devil Dog will chew you up and leave you whimpering for more,
At 98 IBU’s and 5.2 pounds of hops to the barrel it is an all out assault on the senses.
 
Devil Dog Started as a labor of love but quickly took on a life of its own, leaving us drooling like Pavlov’s dogs at the mere mention of its name.

Triple dry hopped and at 10% ABV, more than one of these bad boys will cause you to howl at passing strangers and chew up your toys, or anything else you can get your sharp little teeth on.

Hops: Columbus, Northern Brewer, Ahtanum, Cascade and Simcoe
Malt: Pale, Carmel and Munich 
      ",98,DNE
Woodland Empire Cozy Up Big Ol’ Milk Stout,3.67,96,96,8%,240,DNE,23,3.78/5.0
Grand Teton 5 O’Clock Shadow,3.66,95,99,7.6%,228,"
        We have taken the traditional Schwarzbier, intended to be a ""session beer"" with typically moderate alcohol, and almost doubled its strength to 7.6% alcohol by volume. We brewed our version with a fine balance of crystal and roasted malts and spiced it with noble hops. We fermented 5 O’Clock Shadow at cold temperatures with a select German lager yeast and cold-conditioned it for over four months to create a velvety smooth, easy-drinking springtime brew.
      ",38,DNE
Sockeye Dagger Falls IPA,3.66,95,95,6.5%,195,"
        This medal winning India Pale Ale is brewed in the true 
Northwest fashion. It has an intense hop flavor and aroma with a dry bitter finish. It definitely has enough hops to ""send you over the edge.""",DNE,DNE
Laughing Dog Sneaky Pete Imperial IPA,3.65,95,79,10%,300,"
        Sneaky Pete is a blend of five hop types: Simcoe, Glacier, Centennial, Vanguard and Hallertuaer, with Simcoe playing the dominate role at 30%.  In addition, three separate malts were used: Honey Malt, Rye Malt, and Munich Malt.  The brew has a copious aroma of white grapefruit, citrus overtones, a complex rich middle and long flavors in the finish; a real beauty.  Finished with wild clover honey.
      ",89,DNE
Laughing Dog Anubis Imperial Coffee Porter,3.64,95,63,8%,240,"
        A complex Imperial Coffee Porter made with Evans Brothers cold-pressed coffee. Subtle chocolate, and coffee notes are balanced by black malt bitterness and malt sweetness. 
      ",34,DNE
Selkirk Abbey Infidel,3.64,95,78,8.2%,246,"
        Belgian IPA:  It’s not for the masses, it’s for you. Rejecting traditional brewing dogma, the Infidel challenges the notion of beers fitting neatly into established style guidelines. The assertive, citrus hoppiness of an American IPA unites with the traditional spicy notes of a Belgian Pale Ale to create a bold, beautiful, palate-pleasing brew.
      ",DNE,DNE
Grand Teton Trout Hop Black IPA,3.64,95,87,8.5%,255,"
        Trout Hop is brewed with Idaho 2-Row Brewers’ Malt and German specialty
malts and has a deep, rich color and roasted finish without the thick and
malty body that often accompanies dark beers.  It is kettle hopped and dry
hopped with Pacific Northwest hops, resulting in bold and intense bitterness
and piney, zesty aroma.  The full body and dry finish create a refreshing
autumn ale, perfect for any crisp afternoon or cool evening.  The spicy hopsof this ale complement rich, flavorful foods. Chocolate mole enchiladas, Indian and Thai curries, and barbeque ribs will accompany nicely.
      ",DNE,DNE
Grand Teton Pursuit of Hoppiness,3.63,95,84,8.5%,255,"
        Pursuit of Hoppiness was brewed to showcase the brash beauty of American hops: Summit, Simcoe, Chinook and Nuggets at 100 International Bitterness Units (IBU). It was brewed with Idaho 2-Row malted barley and German specialty malts to provide a rich, slightly caramel flavor and bold reddish color. At 22 degrees Plato starting gravity and about 8% alcohol by volume, this is a perfect autumn beer, thick and warming, to be shared and savored on a crisp fall evening.
      ",100,DNE
Barbarian Big Bad Funky Wolf ,3.62,94,74,9%,270,"
        The funky sister of Big Bad Wolf that was fermented in oak barrels with 100% Brettanomyces; this gives the beer hints of tropical and citrus fruit mixed with a little barnyard funk.
 
      ",85,3.82/5.0
Sockeye Big Creek Trappist,3.73,94,94,6.8%,204,"
        This Belgian style pale ale is brewed using yeast from one of the six trappist breweries remaining in the world. It boasts a sweet yet smooth maltiness. This beer was the recipient of the 2003 Silver Medal from the North American Brewers Association.

This beer is also known as Triple Pie Ale at ",DNE,3.95/5.0
Laughing Dog Hop Dog Harvest Pale Ale,3.59,94,97,6.2%,186,"
        Hop Dog is a fresh Hop pale ale. Brewed once a year at harvest season, it is a Light hoppy pale ale with lots of green grassy hop notes.
      ",DNE,3.69/5.0
Woodland Empire Beast Moans,3.6,94,45,10%,300,"
        Cherrywood smoked imperial stout
      ",65,3.74/5.0
Grand Teton Wake Up Call Imperial Coffee Porter,3.6,94,53,7.5%,225,"
        Wake Up Call Imperial Coffee Porter has a distinct and robust coffee flavor that blends harmoniously with the roasted malts. Caramel, chocolate, and black malts give this ale its dark color and overtones of caramel and a cocoa-like sweetness. Only very gently hopped, the addition of coffee shines through, providing a delicious accent to this brew.
      ",40,DNE
Sockeye Double Dagger IIPA (Fresh Hop),3.58,93,64,9%,270,"
        Fresh hop version of the Double Dagger DIPA
      ",DNE,3.82/5.0
Goose Island Bourbon County Stout,4.26,100,100,14.2%,426,"
        ""I really wanted to do something special for our 1000th batch at the original brewpub.  Goose Island could have thrown a party.  But we did something better.  We brewed a beer.  A really big batch of stout-so big the malt was coming out of the top of the mash tun.  After fermentation we brought in some bourbon barrels to age the stout.  One hundred and fifty days later, Bourbon County Stout was born-A liquid as dark and dense as a black hole with a thick foam the color of bourbon barrels.  The nose is a mix of charred oak, vanilla,carmel and smoke.  One sip has more flavor than your average case of beer.  It overpowers anything in the room.  People have even said that it’s a great cigar beer, but I haven’t yet tried a cigar that would stand up to it.""  Brewmaster Greg Hall;   
",60,DNE
Goose Island Bourbon County Stout - Rare 2015,4.15,100,99,14.5%,435,"
        Brewer’s Notes",60,DNE
Goose Island Bourbon County Stout - Coffee,4.23,100,100,13.4%,402,"
        Everyday Goose Island smells the wonderful coffee roasting next to our brewery at Chicago’s Intelligentsia Coffee and Tea. This world class roaster puts the same passion and skill into their coffee as Goose Island does with its beer. This excellent stout is made with a different coffee from our friends next door each year. With the change in coffee comes a change in the flavor profile, making each release truly unique from the previous years.
",60,DNE
Goose Island Bourbon County Barleywine,4.11,100,100,12.1%,363,"
        Aged in the third-use barrels that were once home to Kentucky bourbon and then our renowned Bourbon County Stout, this traditional English-style barleywine possesses the subtlety of flavor that only comes from a barrel that’s gone through many seasons of ritual care. The intricacies of the previous barrel denizens – oak, charcoal, hints of tobacco and vanilla, and that signature bourbon heat – are all present in this beer. Hearty and complex, Bourbon County Brand Barleywine is a titan and a timeline; a bold, flavorful journey through the craft of barrel aging.
      ",60,DNE
Goose Island Bourbon County Stout - Regal Rye Barrel,4.05,100,97,13.5%,405,"
        Bourbon County Brand Stout aged in rye whiskey barrels with blackberries, Luxardo candied cherries, fresh sour cherries and sea salt.
      ",60,DNE
Goose Island Cthulhu,4.03,100,97,10%,300,"
        Opaque color, thin brown lacy head, bourbon and chocolate aroma, rich vanilla flavor, dry finish 
",DNE,4.16/5.0
Goose Island Night Stalker,4.01,100,96,11.7%,351,"
        Night Stalker, as an homage to the Chicago-based television show. Night Stalker is a jet black, dry hopped Imperial Stout, extremely rich and full flavored with malt and chocolate followed by a bright dry hopped aroma. It is the same base as our Bourbon County Stout, but instead of aging in Bourbon barrels, we dry hop it like madmen.

ABV – 11.7%
IBU’s – 60
Color – 100
Aroma Hops –Mt. Hood & Simcoe
Malts – 2-Row, Munich, Chocolate, C-60, Roast Barley, Debittered Black


      ",60,DNE
Pipeworks Citra Imperial IPA,3.98,100,99,9.5%,285,"
        When ninjas take a break from their battles with the mythical unicorn, they like truly embrace their innner hop head. This particular ninja has chosen to walk the path of the Citra hop. Absolutely loaded with Citra hops, this Imperial IPA is brimming with juicy hop character from nose to palate. Enjoy a break from life’s own battles with a Citra Ninja
      ",DNE,DNE
Pipeworks Crimson Snapper,3.96,100,99,9.5%,285,"
        Imperial India pale ale brewed with honey and blood orange juice and citra hops ",DNE,DNE
Goose Island Nutulhu,3.96,100,94,11%,330,"
        Cthulhu with toasted hazelnuts and vanilla beans.
      ",DNE,4.15/5.0
Pipeworks Ninja Vs Unicorn Double IPA,3.97,100,99,8%,240,"
        Ninja vs. Unicorn celebrates the epic battle between two of the biggest hop-heads of lore.  Brewed with over five pounds of hops per barrel, this unfiltered double IPA is sure to please the most discerning hop lover.  Whether you’re rooting for the mythical horned horse or the deadly assassin of the east, we hope you’ll enjoy Ninja vs. Unicorn.   Bottle Art by Jason Burke ink & lead Designs ",150,DNE
Goose Island Imperial IPA,3.97,100,99,9.2%,276,"
        Traditionally, there are a lot of rules when it comes to brewing great beer. The fact that American craft brewers have broken those rules to produce some of the world’s finest beers is downright heroic. At Goose Island we live and die by hops, so breaking the rules meant pushing the hop limit to the extreme to create this monster Imperial IPA. We took three of our favorite hops, TETTNANG, SIMCOE, and CASCADE, and balanced their spiciness with tons of malt. Them we went back and dumped in MORE HOPS and more malt until this beer was exploding with flavor...strong enough to wake the dead and filled with more bitterness than a woman scorned. This Imperial IPA is absolutely gigantic, you’ll smell the hops from about a yard away. What will surprise you is how incredibly drinkable it is. Pair it up with the saltiest blue cheese you can find, and go nuts.
      ",DNE,DNE
Goose Island Bourbon County Stout - Templeton Rye Barrel,3.94,99,94,13.5%,405,"
        Bourbon County Stout aged in Templeton Rye Whiskey barrels
      ",DNE,4.06/5.0
Half Acre Galactic Double Daisy Cutter,3.95,99,99,8.5%,255,"
        We’ve brewed a variant of Double Daisy Cutter we’re calling Galactic Double Daisy Cutter. This version highlights Galaxy hops, a bruiser grown in Australia specifically to make pallets numb.
      ",DNE,DNE
Destihl Dosvidanya Russian Imperial Stout,3.94,99,93,14%,420,"
        Like a Russian Matryoshka or ’nesting’ doll, the secret of Dosvidanya® Russian Imperial Stout lies locked deep within her mysterious & elaborate wooden layers. The hidden soul of this oak bourbon barrel-aged beer that we said Dosvidanya (’goodbye’) to several months before revealing, is its rich flavors like dark chocolate, toffee, black cherries and coffee along with robust & roasty maltiness that finishes dry.
      ",78,DNE
Pipeworks Unicorn Galaxy Imperial IPA,3.91,99,98,9.5%,285,"
        When it comes to gravitationally bound systems of stars, stallar remnants, interstellar mediums and dark matter, the Unicorn is a bit of an expert. This wheat Double IPA, brewed with 20 perfcent wheat and loads of Galaxy hops, will tear through yourface time continuum in less than 12 parsecs and leave you well versed in a brief history of awesome.
      ",DNE,DNE
Revolution Barrel Aged Institutionalized Barley Wine,3.92,99,98,13%,390,"
        In November of 2010, we filled 1 Jack Daniels and 1 Heaven Hill Rye Whiskey barrel with our Barleywine (Institutionalized). The combination of these two unique barrels yield a very rich and complex finished product. Deep aromas and flavors of dark stone fruits, bourbon, molasses, toasted coconut and vanilla come in waves as you swirl this beer in the snifter.
",DNE,DNE
Haymarket Clare’s Thirsty Ale,3.9,99,91,12.5%,375,"
        An Imperial Stout aged for six months in Woodford Reserve bourbon barrels on raspberries.
",DNE,4.04/5.0
Haymarket Indignant Imperial Stout - Bourbon Barrel,3.91,99,91,12.5%,375,"
        A monstrously big black ale aged for 4 months in eight year old Woodford Reserve Bourbon barrels. Flavors of vanilla, coconut, chocolate, coffee, cherry and bourbon are matched by the warming effect of the brew.
      ",DNE,DNE
Pipeworks Emerald Grouper ,3.9,99,98,9.5%,285,"
        Imperial IPA brewed with honey.
      ",75,DNE
