review_count,style_score,brewer,wgt_avg,beer_img,state,beer_rank,overall_score,beer_style,beer_name,abv,est_cal,mean,ibu,beer_desc
19,34,Bridge Brew Works,3.21,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_142476.jpg",WEST VIRGINIA,21,57,India Pale Ale (IPA),Bridge Brew Works India Pale Ale,,,3.27/5.0,222,- A deep amber colored ale with a noticeable hop aroma.  All of the flavors and aromas of a highly hopped beer are balanced with a combination of several quality barley malts to prove a surprisingly drinkable 7.47% ABV beer.  At BBW we believe that an IPA should have a good malt character to sing along with the abundance of bittering and flavor hops used.  This beer is unfiltered and unpasteurized and is partially bottle conditioned therefore it may have a small amount of yeast sediment on the bottom of the bottle.  We suggest letting this beer warm up slightly from refrigeration temperature then pour into 2 clean clear pint glasses roughing the beer up a bit (pour aggressively) at the end of each pour to bring up a nice thick head.  You may reserve any sediment and dispose or drink it - please don’t be afraid of sediment!  It is the result of living yeast and is yummy.   We hope you enjoy this beer as much as we do and share it responsibly with friends.
29,64,Morgantown Brewing Company,3.2,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_113348.jpg",WEST VIRGINIA,20,57,Brown Ale,Morgantown Anderson’s Kettle Bottom Brown Ale,4.7%,141,3.24/5.0,29,"A medium bodied, moderately hopped American Brown Ale featuring a chestnut hue, and light beige colored head. Notes of chocolate and toasted nuttiness throughout, finishing slightly dry."
9,,Greenbrier Valley Brewing Company,3.24,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_337904.jpg",WEST VIRGINIA,19,57,German Hefeweizen,Greenbrier Valley Wild & Wonderful Series #2: Hefeweizen,5.76%,173,3.37/5.0,,"The Wild & Wonderful bottle series allows us to tap into our creative, innovative, and passionate sides of brewing, to form a contrasting bold Wild flavor & exciting Wonderful flavor of quality handcrafted beer."
35,36,Bridge Brew Works,3.16,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_164100.jpg",WEST VIRGINIA,18,59,Belgian Strong Ale,Bridge Brew Works Trubell,,,3.23/5.0,333,This unfiltered blonde Belgian style ale has a medium body with fruity aromas and residual malt sweetness. The Belgian strain of yeast provides a satisfying complexity to both the aroma and the flavor. Hop flavor and aroma are very low.
31,40,Big Timber Brewing Company,3.27,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_278250.jpg",WEST VIRGINIA,17,61,India Pale Ale (IPA),Big Timber IPA,6.5%,195,3.31/5.0,74,
50,40,Morgantown Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_113344.jpg",WEST VIRGINIA,16,61,India Pale Ale (IPA),Morgantown Zack Morgan’s IPA,7%,210,/,71,"A beautiful rich golden brew ripe with citrus aroma from Cascade, Centennial, and Columbus  hops. The nice, initial hop bite fades to reveal the perfect subtleties of a well rounded India Pale Ale."
32,57,Greenbrier Valley Brewing Company,3.28,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_277919.jpg",WEST VIRGINIA,15,64,American Pale Ale,Greenbrier Valley Wild Trail Pale Ale,5.7%,171,3.33/5.0,44,"The Wild Trail Pale Ale is a medium bodied golden-amber ale. Featuring the choicest hops from the Pacific Northwest; lending to a robust mango, tangerine, and piney flavor. As well as dry hopped to add a slight floral and hoppy note. The robust hops are balanced by a blend of British floor malted barley and American 2-row. At a moderate 5.7% abv and 44 IBU’s, this is a flavorful, American Pale Ale. Enjoy at home or after an adventure on one of West Virginia’s wild trails."
23,85,Bridge Brew Works,3.33,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_211923.jpg",WEST VIRGINIA,14,71,Specialty Grain,Bridge Brew Works Momma Rye IPA,,,3.4/5.0,,"This is a commemorative beer brewed for Nathan’s mother whose maiden name is Rye. Angie Rye passed away on May 10, 2010 from ovarian cancer. Mom was an amazing lady who was a literature teacher, poet and artist; she ’lived life out loud.’ Proceeds from Momma Rye IPA will help fight and bring awareness to ovarian cancer. Thank you for your support and together we can hope for a cure."
9,,Healthberry Farm,3.35,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_279025.jpg",WEST VIRGINIA,13,74,Mead,Healthberry Farm Honey River Tulip Poplar Mead,14%,420,3.52/5.0,,"Mead is an ancient wine that predates written language.  From the mountains of West Virginia, our seasonal honey and spring water combine to produce this traditional sweet drink.  This mead is produced with dark, rich honey from Tulip Poplar blooms and aged two years before bottling.  Sweet dreams of honey filled streams!"
10,56,Morgantown Brewing Company,3.33,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_258317.jpg",WEST VIRGINIA,12,74,Porter,Morgantown First Shift Coffee Porter,5.6%,168,3.48/5.0,30,"Java junkies rejoice your beer is here! Our First Shift Coffee porter is a robust porter full of deep malty chocolateness , that features a huge coffee aroma and Flavor. Aged on dark French roast for five months, this brew is sure to put some pep in your step!"
28,56,North End Tavern & Brewery,3.28,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_38246.jpg",WEST VIRGINIA,11,75,Porter,North End Dawks Classic Porter,5%,150,3.4/5.0,12,"Dark, rich and frothy, Dawk’s Classic Porter is by far our heartiest brew. Roasted chocolate and black patent malts create the ominous ebony color which dominates this beer."
11,73,Kenco Farms,3.37,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_151444.jpg",WEST VIRGINIA,10,78,Mead,Kenco Farms Blue Mead,,,3.53/5.0,330,
32,89,Bridge Brew Works,3.41,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_241716.jpg",WEST VIRGINIA,9,81,Abbey Dubbel,Bridge Brew Works The Dun Glen Dubbel,,,3.47/5.0,202,This ale is amber-brown with a rich malty aroma and flavor.  The complex aromas including dark fruit are complimented by balanced hop bitterness. ABV: 6.5%-7%.
42,45,Greenbrier Valley Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_277920.jpg",WEST VIRGINIA,8,82,Black IPA,Greenbrier Valley Mothman Black IPA,6.7%,201,/,71,"The Mothman Black IPA is a hop forward, medium bodied black ale.  The strong hop flavor is from the use of the choicest Pacific Northwest hops; lending to a balanced bitterness of citrus and hints of floral.  The German 2-row and English Crystal malts offer a touch of roasted toffee and chocolate.  At 6.7% abv and 71 IBU’s, this Black IPA promises to satisfy any hophead."
26,67,Greenbrier Valley Brewing Company,3.44,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_335851.jpg",WEST VIRGINIA,7,83,India Pale Ale (IPA),Greenbrier Valley Devil Anse IPA,6.9%,207,3.51/5.0,65,"Devil Anse Hatfield led his family in the notorious and bloody feud with the McCoys during the late 1800s along the Kentucky-West Virginia border. Nicknamed Devil Anse, it was said that he was so strong and fierce he could take on the devil himself. No feuding is necessary when you enjoy the balanced bitterness of hops and tropical fruit characteristics in this satisfying IPA."
14,46,Bridge Brew Works,3.42,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_235133.jpg",WEST VIRGINIA,6,83,Black IPA,Bridge Brew Works Hellbender IPA,,,3.56/5.0,255,
13,91,Chestnut Brew Works,3.5,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_225725.jpg",WEST VIRGINIA,5,88,American Pale Ale,Chestnut Brew Works Halleck Pale Ale,,,3.67/5.0,180,"This was the first beer brewed at Chestnut Brew Works’ Halleck Road location.  This beer boasts a delectably hoppy flavor with a slight malt nutiness, and only a pleasant bitterness to help balance the taste.  No harsh bitterness typical of many hoppy beers. Malts: Marris Otter, American 2-row, Crystal 40L.  Hops: Simcoe, Centennial, Columbus, Chinook. Yeast: American Ale."
47,96,Morgantown Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_120207.jpg",WEST VIRGINIA,4,88,Stout,Morgantown Coal City Stout,5.6%,168,/,36,"An American Stout stout that opens with a walllop of roasted grains to unveil slight bittersweet chocolate and espresso undertones, a big bold brown head tops this midnight black brew, which features a medium full body, equivalent hop support, and bold grainy goodness throughout."
47,67,Bridge Brew Works,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_169581.jpg",WEST VIRGINIA,3,89,Baltic Porter,Bridge Brew Works Peregrine Porter,,,/,216,
13,91,Bridge Brew Works,3.54,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_169580.jpg",WEST VIRGINIA,2,91,Stout,Bridge Brew Works Moxxee Coffee Stout,,,3.73/5.0,159,
31,92,Big Timber Brewing Company,3.55,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_278251.jpg",WEST VIRGINIA,1,91,Porter,Big Timber Porter,6.5%,195,3.62/5.0,30,"Our porter has a rich coffee smell and first taste, followed by hints of chocolate and tobacco. Mildly sweet."
22,66,Bluejacket,3.61,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_397681.jpg",WASHINGTON DC,24,94,Sour/Wild Ale,Bluejacket Wary Fiend,,,3.73/5.0,171,"Tart, dry & subtly nuanced, with notes of cracked pepper, white grapefruit, lemon zest & earthy funk. Brewed w/ rye & wheat, hopped w/ Citra & Chinook, soured in our horizontal lacto tank & fermented with our house strain of Brettanomyces Bruxellensis"
15,46,Bluejacket,3.61,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_330049.jpg",WASHINGTON DC,23,94,Imperial Stout,Bluejacket Mexican Radio (Whiskey Barrel Aged),,27,3.78/5.0,,"Our mole-inspired sweet stout aged in oak whiskey barrels. Robust & rich on the palate, with intensified accents of creamy vanilla, caramel, toast and spice in the nose. Brewed with oats, lactose milk sugar, vanilla beans, cacao nibs, ancho chilies & cinnamon."
17,68,Right Proper Brewing Company,3.62,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_262037.jpg",WASHINGTON DC,22,94,Sour/Wild Ale,Right Proper Kodachrome Dream(ing),4.5%,135,3.77/5.0,,"Brewed in collaboration with DC’s own Mad Fermentationist Michael Tonsmeire. Our radler inspired ale is open fermented with lactobacillus and brettanomyces. Brewed with wheat and lots of fresh grapefruit, lemon and lime zests. Vividly dry-hopped with Galaxy and Citra hops."
9,,Bluejacket,3.62,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_417159.jpg",WASHINGTON DC,21,94,Barley Wine,Bluejacket P.X. Sherry Barrel-Aged High Society 2016,,,3.91/5.0,405,"Our new high society barleywine aged for 4 months in freshly emptied oak p.x. sherry butts. Massively rich and chewy on the palate, with toast, toffee and caramel notes layered a top flavors of cocoa, spices, vanilla, and coffee."
9,,Bluejacket,3.6,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_330268.jpg",WASHINGTON DC,20,94,Grodziskie/Gose/Lichtenhainer,Bluejacket Further,4%,120,3.88/5.0,7,"A delicately tart German-inspired gose with papaya fruit. Brewed with
55% wheat (37% malted & 18% unmalted), lightly hopped with Jarrylo,
seasoned with coriander, spiked with sea salt, soured for 3 days with our house strain of lactobacillus & finished with 150 pounds of papaya."
39,66,Bluejacket,3.61,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_282638.jpg",WASHINGTON DC,19,94,Sour/Wild Ale,Bluejacket / Intangible Ales Travlr’s 12k,,29,3.67/5.0,,"Gene Turns 10k aged 5 months in Larkin Cabernet Franc barrels (Napa Valley, California); elegant accents of wild blackberries, blooming violets, plum fruit & peppery spice mingle with the base brew’s citrus & funk; crafted in collaboration with our friends Terry Hawbaker & Kristen Mullen (Intangible Ales), as well as with our good buddy Gene himself."
9,,3 Stars Brewing Company,3.64,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_374888.jpg",WASHINGTON DC,18,95,Imperial Stout,3 Stars Starsky and Dutch,8.3%,249,3.93/5.0,,Double the chocolate in this tasty frothy sweet stout.
23,90,Atlas Brew Works,3.65,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_228293.jpg",WASHINGTON DC,17,95,Black IPA,Atlas Brew Works NSFW,,,3.77/5.0,276,
54,95,Bluejacket,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_240421.jpg",WASHINGTON DC,16,95,India Pale Ale (IPA),Bluejacket Lost Weekend,6%,180,/,60,"A GOLDEN-HUED IPA EXCLUSIVELY & AGGRESSIVELY HOPPED & DRY-HOPPED WITH PACIFIC NORTHWEST-GROWN CITRA HOPS; BRIGHT & CRISP ON THE PALATE WITH A BOLDHOP BITE IN THE FINISH; THE NOSE OFFERS A FRUIT-FORWARD ARRAY OF TANGERINE, CITRUS, PEACH & LYCHEE FRUIT AS WELL AS UNDERLYING NOTES OF GRASS & EARTH"
24,78,DC Brau Brewing Company,3.64,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_233588.jpg",WASHINGTON DC,15,95,Imperial IPA,DC Brau Alpha Domina Mellis,8.5%,255,3.76/5.0,,"MALTS: 2-row, C-60

ADJUNCTS: 60 lbs of Local Wildflower Honey from Burnside Farms

HOPS: Hop Union Experimental Variety, Mosaic, Simcoe, Cascade

ABV: 8.5%

BACK STORY:

Here at DC Brau we love our hoppy beers. This is our latest attempt in seeing how many hops we can fit into a DIPA and I think we’ve hit a new mark. This beer clocks in around 100 IBU, similar to OTWOA but uses 4 different varieties instead of 1. Alpha-Domina-Mellis was also brewed with 30 lbs of Wildflower honey from Burnside Farms in Haymarket, VA that was added at the end of the 90 min boil and then 30 lbs added directly into the fermenter on the second day of primary fermentation.

TASTING NOTES:

Alpha-Domina-Mellis leads in with a peach-like color and a distinctive tropical / pineapple like nose with a hint of breadiness. Mouthfeel is light and crisp with a huge, lingering bitterness provided by the huge dose of experimental hops that were added early in the boil. What the drinker is left with is a bitterness that won’t quit followed by a heavy tropical, fruity, ""juicy fruit"" bubblegum like aroma with a lingering aroma reminiscent of star fruit and stone fruit."
226,97,DC Brau Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_144561.jpg",WASHINGTON DC,14,95,Porter,DC Brau Penn Quarter Porter,5.5%,165,/,,"Penn Quarter Porter is our first in a line of draft-only limited-release beer, and it’s a robust porter! In the way that The Public is on the line between a pale ale and an IPA, this is on the line between a porter and a stout - with chocolate notes and a dry, roasted finish."
27,77,Bluejacket,3.65,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_265728.jpg",WASHINGTON DC,13,95,Sour Red/Brown,Bluejacket / Brooklyn / New Belgium Rheinard de Vos,6.7%,201,3.76/5.0,,"An homage to the natural red wines of Auvergne, France, this soured Red Ale was fermented with Brettanomyces Bruxellensis Drei for notes of wild strawberry, earth & black pepper."
27,97,Right Proper Brewing Company,3.66,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_245955.jpg",WASHINGTON DC,12,96,Smoked,Right Proper The Lubitsch Touch,4.7%,141,3.77/5.0,,Our pale rauchbier is brewed with a mix of smoked malts for complexity and is a nod to the old Polish-style grätzer. A bit of campfire in a glass.
55,96,Bluejacket,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_241721.jpg",WASHINGTON DC,11,96,Sweet Stout,Bluejacket Mexican Radio,7.4%,222,/,32,"A creamy confluence of milk chocolate & vanilla is dusted in cinnamon spice & finished with a sweet & mildly smoky hint of ancho chili pepper; brewed with oats & lactose milk sugar; finished w/ vanilla beans, ancho chilies, cinnamon & cacao nibs locally-roasted by our friends at Undone Chocolate (Washington, DC)."
59,79,Bluejacket,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_282579.jpg",WASHINGTON DC,10,96,Sour/Wild Ale,Bluejacket / Intangible Ales Gene Turns 10k,,29,/,,"A farmhouse ale brewed for Gene Bonventre’s 10,000th RateBeer rating!  Crisp, dry and subtly nuanced, offering an aromatic array of lemon zest, cracked pepper, white grapefruit and earthy funk; crafted in collaboration with our friends Terry Hawbaker & Kristen Mullen (Intangible Ales), as well as with our good buddy Gene himself.  Brewed with rye & oats, hopped with Citra, Aramis & Chinook, soured with lactobacillus and fermented exclusively with Brettanomyces Bruxellensis Drei for six months in tank."
56,100,Bluejacket,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_234802.jpg",WASHINGTON DC,9,97,Kölsch,Bluejacket Forbidden Planet,,20,/,,"Heavily dry hopped with Australian-grown galaxy hops; semi-dry & quaffable with bold passion fruit, peach & mango aromatics."
26,83,Bluejacket,3.71,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_330269.jpg",WASHINGTON DC,8,97,Sour/Wild Ale,Bluejacket Wallflower,5.2%,156,3.82/5.0,25,"A brightly quenching, floral & juicy dry-hopped sour blond ale; soured for 5 days in our horizontal stainless tank with house lactobacillus,
then hopped & dry-hopped with Nelson Sauvin, Galaxy & Hull Melon hops."
26,98,Bluejacket,3.7,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_314745.jpg",WASHINGTON DC,7,97,Grodziskie/Gose/Lichtenhainer,Bluejacket A Little Golden Gem,,6,3.82/5.0,,"A Winter’s Gose; Bright, Tangy & Tantalizing With Juicy Citrus Notes and A Dusting Of Spice; Brewed With 60% Wheat (50% Malted & 10% unmalted), Lightly Hopped With Jarrylo, Seasoned With Coriander, spiked With Sea Salt, Soured For 5 Days With Our House Strain Of Lactobacillus & Finished With 100 Pounds Of Fresh Kumquats."
20,96,Right Proper Brewing Company,3.74,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_310509.jpg",WASHINGTON DC,6,97,Berliner Weisse,Right Proper Kick.Kick.Snare,3.1%,93,3.89/5.0,,"Today we introduce Kick.Kick.Snare, a dry-hopped Berliner weisse. This 3.1% rustic wheat beer was fermented solely with lactobacillus, then lightly dry-hopped with Citra and Cascade for an intensely acidic and juicy experience. Bright acidity highlights flavors of peaches, apricots, and citrus. Is it cold outside? I hadn’t noticed."
34,98,DC Brau Brewing Company,3.73,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_320480.jpg",WASHINGTON DC,5,98,India Pale Ale (IPA),DC Brau / Oskar Blues Smells Like Freedom,,65,3.82/5.0,,"Smells Like Freedom is our first collaboration with Oskar Blues. The 7-percent IPA — which is being brewed both at Oskar Blues and at DC Brau — is a nod to D.C.’s Initiative 71, the marijuana-legalization measure approved in November and expected to take effect early 2015."
74,94,Georgetown Trading Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_308053.jpg",WASHINGTON DC,4,98,American Strong Ale,James E. Pepper 1776 American Brown Ale ,10.2%,306,/,,"James E. Pepper brewed an American Brown Ale and aged it in oak barrels.  The Ale was aged in the same oak barrels in which James E. Pepper recently aged their 1776 Straight Rye Whiskey.  The Ale is a deep, dark brown ale, that, when served, could be mistaken for a stout.  The taste is sweet with coffee, vanilla and oak notes shining through.  The rye comes through a bit on the finish."
23,97,Right Proper Brewing Company,3.78,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_314002.jpg",WASHINGTON DC,3,98,Berliner Weisse,"Right Proper Diamonds, Fur Coat, Champagne",,,3.91/5.0,108,Aromatized Berliner weisse
37,93,DC Brau Brewing Company,3.77,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_250884.jpg",WASHINGTON DC,2,98,Imperial IPA,DC Brau Solar Abyss,10%,300,3.86/5.0,,"Alright, alright, alright… So you heard about the Armageddon. Didn’t happen. Not to worry though, there’s a new fiesta in the making. Solar Abyss. Party in your mouth. Lots of Mosaic hops. Everybody’s gonna be there. You should come. Piney, earthy, a little dank with that strawberry cough. Why don’t you ditch the geeks and get on board......."
270,97,DC Brau Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_165803.jpg",WASHINGTON DC,1,99,Imperial IPA,DC Brau On the Wings of Armageddon,,115,/,,And so it was written.......
28,80,Elysian Brewing (AB InBev),3.79,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_216524.jpg",WASHINGTON,24,98,Imperial Stout,Elysian The Fix,,55,3.92/5.0,,"Dark, rich, and roasty with Stumptown coffee and aged on cocoa nibs sourced by Theo Chocolate, this stout is complex and full of your favorite dark matter."
41,93,Urban Family Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_357673.jpg",WASHINGTON,23,98,Sour/Wild Ale,Urban Family Lady of the Night,,,/,186,"Citra, Amarillo and Centennial combine with a lactobacillus soured pale ale."
19,81,Holy Mountain Brewing Company,3.8,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_423222.jpg",WASHINGTON,22,98,Imperial Stout,Holy Mountain Midnight Still - Cherry Rye,13%,390,3.97/5.0,,"Midnight Still was aged on Sweetheart cherries from a small producer in Chelan in Rittenhouse Rye barrels for 19 months. This Cherry/Rye blend also contains Barrel 001, the first Midnight Still barrel ever filled."
609,99,Pike Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_1179.jpg",WASHINGTON,21,98,Stout,Pike XXXXX Stout,,65,/,,"A full-bodied beer with deep chocolate color, velvety malt texture, and a dark-roasted flavor, with hints of smokiness and coffee. It combines the dryness of traditional Dublin-style stout with the strength and character of Imperial Stout."
766,82,Elysian Brewing (AB InBev),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_3788.jpg",WASHINGTON,20,98,Imperial Stout,Elysian Dragonstooth Stout,,,/,243,"A smooth and sturdy stout, made with 10% rolled oats, roasted barley and chocolate malt. The name is referential to the founders of Thebes, warriors who sprang from the earth when the teeth of a slain dragon were sown by Cadmus. Bittered with Chinook; finished with Cascade and Columbus hops."
100,94,Boundary Bay Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_19112.jpg",WASHINGTON,19,98,Imperial IPA,Boundary Bay Imperial IPA,9%,270,/,,"A full-bodied, copper India Pale Ale. Fairly strong alcohol content and an aggressive fresh hop quality. Original Gravity 1.084"
110,83,Old Schoolhouse Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_138080.jpg",WASHINGTON,18,99,Imperial Stout,Old Schoolhouse Imperial Stout,10%,300,/,,"Old Schoolhouse Brewer’s Reserve, waxed bottle and wicked stout flavor. Deep, dark, and complex with layers of caramel, chocolate, and roasted malts. Very rich with high alcohol and plenty of hops to balance out the loads of malted barley."
60,84,Black Raven Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_137749.jpg",WASHINGTON,17,99,Imperial Stout,Black Raven Grandfather Raven Imperial Stout,9.5%,285,/,70,"In the creator role, and in the Raven’s role as the totem and ancestor, the Raven is often addressed as Grandfather Raven. With this stately sense of pomp and tradition we bring you our Imperial Stout. This robust black ale is full with rich dark caramel, unsweetened chocolate, and hints of coffee aromas and flavors. Stately indeed, but at 9.5% ABV, perhaps it is just a vain attempt to encourage the trickster spirit to act respectably. Released annually in the winter."
412,96,Fish Brewing Company/Leavenworth Beers,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_27803.jpg",WASHINGTON,16,99,Barley Wine,Fish Tale 10² Anniversary Ale,10%,300,/,100,"10 Types of Hops - 100 IBU’s - 10% alc by vol. - Oak Barrel Aged - October, 2003"
14,99,Silver City Brewery,3.84,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_194246.jpg",WASHINGTON,15,99,Belgian Strong Ale,Silver City Le Fat,10%,300,4.08/5.0,,"Fat (Bastard) Scotch Ale fermented with Belgian yeast and then aged extensively in Merlot, Malbec and Cabernet wine barrels."
19,100,Alpenfire Cider,3.84,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_229562.jpg",WASHINGTON,14,99,Cider,Alpenfire smoke,,,4.02/5.0,480,"smoke, our smoky-oaky after dinner tipple cider has been triple fermented in whiskey and mead barrels.  It starts with Kingston Black, Dabinett and Vilberie apples for a very tannic base.  Aging in charred oak concentrates all the best features of each apple variety.  This cider is being sold as a fund-raiser for the many victims of this tragic 2013 fire season.  Please pick up a bottle at your local bottle shop or in our tasting room and give whatever additional support you can to the Wildland Firefighter Foundation."
25,95,Holy Mountain Brewing Company,3.85,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_382320.jpg",WASHINGTON,13,99,Sour/Wild Ale,Holy Mountain Misère au Borinage,,,3.98/5.0,,"A foudre aged grisette, brewed with a large quantity of both raw and malted wheat, and aged for many months with a mixed culture of Brett and Lacto in one of our foudres. Misère (mee-zair) was then refermented in the bottle with Brett and allowed to condition for three months. This grisette is nicely tart, dry, and funky. Definitely our best batch of grisette to date."
31,94,LaConner Brewing Company,3.82,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_17443.jpg",WASHINGTON,12,99,Barley Wine,LaConner Olde Curmudgeon,,,4.03/5.0,,
82,100,Fremont Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_132887.jpg",WASHINGTON,11,99,American Pale Ale,Fremont Cowiche Canyon - Citra & Simcoe (Fresh Hop),,70,/,,"Cowiche Canyon Fresh Hop Ale is made from select organic hops grown in the famous Cowiche Canyon of the Yakima Valley. Fresh Hop ales are brewed with hops harvested and placed in our kettle within 24 hours. We use only fresh hops throughout this beer for a unique, once-a-year beer. We brew Cowiche Canyon ale in partnership with legendary hop-growing wizards from the Yakima Valley in a joint effort to launch a large-scale organic hop industry in Washington State…Because Organic Hops Matter. A portion of all sales goes toward the Cowiche Canyon Conservancy."
77,98,Black Raven Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_114070.jpg",WASHINGTON,10,99,Imperial IPA,Black Raven Wisdom Seeker Double IPA,,85,/,,Malt: 2-Row Barley
21,92,Holy Mountain Brewing Company,3.92,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_423223.jpg",WASHINGTON,9,99,Imperial Stout,Holy Mountain Midnight Still - Coffee Vanilla,13%,390,4.1/5.0,,Midnight Still is a coffee/vanilla variant infused with Madagascar vanilla beans and Nine Swans blend coffee from Elm Coffee Roasters in Pioneer Square.
69,95,Fremont Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_297016.jpg",WASHINGTON,8,100,Imperial Stout,Fremont Dark Star - Bourbon Barrel Spice Wars,11%,330,/,,"BBADS with vanilla, cinnamon, nutmeg, allspice, ginger, and cloves."
228,99,Fremont Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_114487.jpg",WASHINGTON,7,100,American Strong Ale,Fremont Abominable - Bourbon Barrel ,,8,/,,"Lovingly referred to by Fremonters as the B-BOMB, this bourbon barrel-aged edition of our winter ale has a warming spicy aroma and rich carmelly notes of bourbon, wood and vanilla added to dark roasty chocolatey malt flavors and subtle hopping."
87,96,Walking Man Brewing,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_32084.jpg",WASHINGTON,6,100,Imperial Stout,Walking Man Jaywalker Russian Imperial Stout,,,/,381,Commemorative ale brewed in memory of Jay Johnson. IBU  100+
106,97,Fremont Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_297015.jpg",WASHINGTON,5,100,Imperial Stout,Fremont Dark Star - Bourbon Barrel Coffee Edition,11%,330,/,,
196,97,Fremont Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_142400.jpg",WASHINGTON,4,100,Imperial Stout,Fremont Dark Star - Bourbon Barrel,14.5%,435,/,,Our Imperial Oatmeal Stout aged in 15 year old single use Kentucky Bourbon Barrels. The roasted and chocolate malts compliment the smooth oats to bring you a stout delight wrapped in gentle embrace of Bourbon Barrel aged warmth. A touch of sweetness dances in balance with the hops to finish with a wave and then she’s gone.
